13079,KALAMB (DHARASHIV),Dharashiv,Kalamb,MAHARASHTRA,0101000020E6100000DAACFA5C6D015340DE02098A1F933240
13080,PARLI VAIJNATH,Beed,Parli Vaijnath,MAHARASHTRA,0101000020E610000052B81E85EB2153409A99999999D93240
13081,AMRAVATI,Amravati,Amravati,MAHARASHTRA,0101000020E610000014D044D8F070534005A3923A01ED3440
13082,MALKAPUR,Buldhana,Malkapur,MAHARASHTRA,0101000020E61000007E8CB96B090D534016FBCBEEC9E33440
12995,AKLUJ,Solapur District,Akluj,MAHARASHTRA,0101000020E6100000C690F7054FC15240339AA6199CE43140
12996,DHARAMSHALA ,Kangra,"",HIMACHAL PRADESH,0101000020E61000003B3D4A8075145340DFF3684F6E1B4040
12997,GANGAPUR-MH,Chhatrapati Sambhajinagar District,Gangapur,MAHARASHTRA,0101000020E61000003EE76ED7CBC0524096671481A0B23340
13035,CHOPDA,Chopda,Chopda,MAHARASHTRA,0101000020E61000005ABC581822D352407007EA94473F3540
13036,ARNI,Arni,Arni,MAHARASHTRA,0101000020E610000048DE3994A17F5340C3A04CA3C90D3440
13037,SINNAR,Sinnar Taluka,Sinnar,MAHARASHTRA,0101000020E6100000C4CDA96400805240D7D9907F66D83340
13038,UMRED,Umred,Umred,MAHARASHTRA,0101000020E610000022C32ADEC8D45340D5B0DF13EBD83440
12266,DHARAMSHALA,Kangra,Shyam Nagar,HIMACHAL PRADESH,0101000020E61000003A3D4A8075145340E2F3684F6E1B4040
12247,KOTDWAR,Kotdwara,Kotdwar,UTTARAKHAND,0101000020E6100000A59EAAE749A1534016E52DB2F8BE3D40
12248,MANOHAR THANA,Manoharthana Tehsil,Manoharthana,RAJASTHAN,0101000020E6100000D98DE32C9133534056E2F038FB3B3840
12249,MUNGRA BADSHAHPUR,Machhlishahr,Mungra Badshahpur,UTTAR PRADESH,0101000020E610000000BFEBD82D8C5440E62CA2DC6CA83940
12250,MOHANGARH,Jaisalmer Tehsil,Shri Mohangarh,RAJASTHAN,0101000020E61000002A78657245CF5140D5E4CEF176493B40
12251,MANGLOUR,Haridwar,Roorkee,UTTARAKHAND,0101000020E61000009C33A2B4377853400A68226C78CA3D40
12252,MYLAMAPADI,Dakshina Kannada,Mangaluru,TAMIL NADU,0101000020E6100000D3911271A9B35240B910F5CCDCE92940
12253,VILATHIKULAM,Vilathikulam,Kammapatti,TAMIL NADU,0101000020E6100000354FA6B8C78C53400AF0822D1B562240
12254,KALUGUMALAI,Kovilpatti,Kalugumalai,TAMIL NADU,0101000020E6100000D281F634F16C5340217134EC9C4B2240
12255,BISHALGARH,Bishalgarh,Bishalgarh,TRIPURA,0101000020E610000054368B9B83D25640B7DDBA511AA93740
12256,KARUMANDURAI,Attur,Karumandurai,TAMIL NADU,0101000020E61000000A80965327A85340944C4EED0CA72740
12257,PAYAGPUR,Bahraich,Payagpur,UTTAR PRADESH,0101000020E61000000069A44AB972544039A572C927663B40
12258,TULI,Mokokchung,Tuli,NAGALAND,0101000020E61000003A9CAF4802AA574009AE4DBE34A63A40
12259,KAVERIPAKKAM,Arakonam,Kaveripakkam,TAMIL NADU,0101000020E610000040C461C499DD5340BA02C067DAD02940
12260,MYLAMPADI,Erode,Bhavani,TAMIL NADU,0101000020E61000005D6DC5FEB26B53402575029A08FB2640
12261,MAHRONI,Lalitpur​,Mahroni,UTTAR PRADESH,0101000020E61000002AFA098845B15340E271F673AF893840
12262,MANGKOLEMBA,Mangkolemba,Woromong,NAGALAND,0101000020E610000090779A0E559A5740FB0B981B676F3A40
12263,DHARAPURAM,Dharapuram,Dharapuram,TAMIL NADU,0101000020E6100000F0A1E991AB615340F74E16084C792540
12264,JAYAL,Jayal Tehsil,Jayal,RAJASTHAN,0101000020E61000000348C89BD78B5240EA5E82AED8383B40
12265,CHENGAM,Tiruvannamalai​,Chengam,TAMIL NADU,0101000020E61000009849BB6E1DB853408F15A17D51B32840
12267,GURSARAI,Garautha,Gursarai,UTTAR PRADESH,0101000020E6100000390A1005B3CB534064F327E08D9D3940
12268,ANDIMADAM,Andimadam,Savaraveli,TAMIL NADU,0101000020E6100000168C6387A5D65340D8576831C2A12640
12269,YUSUFPUR,Mohammadabad,Mohammadabad,UTTAR PRADESH,0101000020E6100000FDD5880563F05440433C122F4F9F3940
12270,JALUKIE,Peren,Jalukie,NAGALAND,0101000020E61000002F8ABBCD9D6E5740C51B3E8E8B9E3940
12271,NIULAND,Niuland,Nihokhu,NAGALAND,0101000020E61000008097DF8AC07A5740BFA48C13BAD93940
12272,MANAWAR,Dhar,Manawar,MADHYA PRADESH,0101000020E61000009E1ABB8611E35240812CFAF9A5CF3540
12273,TRICHENGODE,Namakkal​,Tiruchengode,TAMIL NADU,0101000020E6100000FE0E45813E795340A67EDE54A4C22640
12274,PHEK,Phek,Sakraba,NAGALAND,0101000020E6100000B367C7F46198574048911040C5A63940
12275,KINATHUKADAVU,Pollachi,Kondampatti,TAMIL NADU,0101000020E61000004E14D7E7A04153401BE8EB4328A82540
12276,ANUPSHAHAR,Gunnaur,Gawan,UTTAR PRADESH,0101000020E61000004DE417983494534091D9F6C993633C40
12277,MANNACHANALLUR,Tiruchirappalli,Manachanallur,TAMIL NADU,0101000020E61000002BA1BB24CEAE5340637D03931BFD2540
12278,JASRA,Bara,Bara,UTTAR PRADESH,0101000020E610000019E3050938725440D21C59F965483940
12279,ALANGIYAM,Dharapuram,Alangiyam,TAMIL NADU,0101000020E6100000776E3546C65F53408FAA2688BA4F2540
12280,VANAPURAM,Thandrampet,Vanapuram,TAMIL NADU,0101000020E6100000774B72C02EC15340DF8728CBB5352840
12281,THOOTHUKUDI,Thoothukudi,Ottapidaram,TAMIL NADU,0101000020E6100000CF3E24B69A7F53408FBAE70A00B12140
12282,THODUVATTI,Tiruchirappalli,Thottiyam,TAMIL NADU,0101000020E61000005DDC460378A75340AEB6627FD95D2640
12283,THIRUTHURAIPOONDI,Thiruthuraipoondi,Thiruthuraipoondi,TAMIL NADU,0101000020E6100000649FB6FCF6E853406E2013DF3F102540
12284,KARUR,Karur,Krishnarayapuram,TAMIL NADU,0101000020E61000000EAEEBDD8098534087DB46A8BEA42540
12285,TISAYANVILAI,Tirunelveli,Tisayanvilai,TAMIL NADU,0101000020E6100000ACCD1849AF7253400F92AA926DB52040
12286,BHAGWANPUR,Dehradun,Thano,UTTARAKHAND,0101000020E610000098A7CEFE9B8D534018F08D7CB9403E40
12287,SARAIPALI,Saraipali Tahsil,Saraipali,CHHATTISGARH,0101000020E610000025F8F0764EC05440405A52A4B1503540
12288,PALACODE,Palakkodu,Palacode,TAMIL NADU,0101000020E6100000857E0118AA84534091EAE005B69B2840
12289,OOTY,Udhagamandalam,Udhagamandalam,TAMIL NADU,0101000020E610000024DC1AC7FE2C53401BA1FA624AD32640
12290,AHIRAURA,Mirzapur,Mirzapur,UTTAR PRADESH,0101000020E61000001B2FDD2406C154404E62105839043940
12291,JHINJHAK,Derapur,Jhinjhak,UTTAR PRADESH,0101000020E6100000686A23E8F9EE534035C3578517903A40
12292,JASHPUR,Jashpur,Kunkuri,CHHATTISGARH,0101000020E61000001314DC9B21FE544017B6662B2FC53640
12293,PERUMBALUR,Perambalur,Perambalur,TAMIL NADU,0101000020E610000000E5EFDE51B85340F6285C8FC2752640
12294,OMALUR,Omalur,Omalur,TAMIL NADU,0101000020E610000026ACE86A068353402D6B5155577C2740
10203,UNA APMC,Gir Somnath,Una,GUJARAT,0101000020E61000000162F59B53C251402B0DA45EBCD03440
